匣	匣 廣州話：hap6
匪	匪 廣州話：fei2
匯	匯 廣州話：wui6
匱	匱 廣州話：gwai6
匹	匹 廣州話：pat1
匾	匾 廣州話：bin2
匿	匿 廣州話：nik1
區	區 廣州話：1)keoi1:區別_2)au1:姓區
十	十 廣州話：sap6
千	千 廣州話：cin1
卅	卅 廣州話：saa1
升	升 廣州話：sing1
午	午 廣州話：ng5
卉	卉 廣州話：wai2
半	半 廣州話：bun3
卑	卑 廣州話：bei1
卒	卒 廣州話：zeot1_(古)同猝cyut3
卓	卓 廣州話：coek3
協	協 廣州話：hip3_(又)hip6
南	南 廣州話：naam4
博	博 廣州話：bok3
卜	卜 廣州話：buk1
卞	卞 廣州話：bin6
占	占 廣州話：zim1
卡	卡 廣州話：1)kaa1:關卡_2)*kaat1:資料卡
卦	卦 廣州話：gwaa3
卧	卧 廣州話：ngo6
卮	卮 廣州話：zi1
卯	卯 廣州話：mau5_(又)maau5
印	印 廣州話：jan3
危	危 廣州話：ngai4
即	即 廣州話：zik1
卵	卵 廣州話：leon2
卷	卷 廣州話：gyun2
卸	卸 廣州話：se3
卹	卹 廣州話：seot1
卻	卻 廣州話：koek3
卿	卿 廣州話：hing1
厄	厄 廣州話：aak1
厚	厚 廣州話：hau5
原	原 廣州話：jyun4
厥	厥 廣州話：kyut3
厭	厭 廣州話：jim3
厲	厲 廣州話：lai6
去	去 廣州話：heoi3
參	參 廣州話：1)caam1:參加_2)sam1:參商_3)cam1:參差
又	又 廣州話：jau6
叉	叉 廣州話：caa1
及	及 廣州話：kap6
友	友 廣州話：jau5
反	反 廣州話：faan2
叔	叔 廣州話：suk1
取	取 廣州話：ceoi2
受	受 廣州話：sau6
叛	叛 廣州話：bun6
叟	叟 廣州話：sau2
叢	叢 廣州話：cung4
口	口 廣州話：hau2
古	古 廣州話：gu2
句	句 廣州話：geoi3_另參0400【勾】字
另	另 廣州話：ling6
叨	叨 廣州話：1)tou1:叨光_2)dou1:叨嘮
叩	叩 廣州話：kau3
只	只 廣州話：zi2
叫	叫 廣州話：giu3
召	召 廣州話：ziu6_(古人名)siu6召公
叭	叭 廣州話：baa1
叮	叮 廣州話：ding1
可	可 廣州話：ho2_(古)hak1可汗
台	台 廣州話：toi4
叱	叱 廣州話：cik1
史	史 廣州話：si2
右	右 廣州話：jau6
叵	叵 廣州話：po2
司	司 廣州話：si1
叼	叼 廣州話：diu1
吁	吁 廣州話：heoi1
吃	吃 廣州話：hek3
各	各 廣州話：gok3
吆	吆 廣州話：jiu1
合	合 廣州話：hap6_gap3容量單位
吉	吉 廣州話：gat1
吊	吊 廣州話：diu3
吋	吋 廣州話：cyun3
同	同 廣州話：tung4
名	名 廣州話：ming4
后	后 廣州話：hau6
吏	吏 廣州話：lei6
吐	吐 廣州話：tou3
向	向 廣州話：hoeng3
吒	吒 廣州話：1)zaa1:木吒_2)caak1:叱吒風雲
君	君 廣州話：gwan1
吝	吝 廣州話：leon6
吞	吞 廣州話：tan1
吟	吟 廣州話：jam4
吠	吠 廣州話：fai6
否	否 廣州話：1)fau2:可否_2)pei2:臧否
吧	吧 廣州話：baa6
吩	吩 廣州話：fan1
含	含 廣州話：ham4
吭	吭 廣州話：1)hong4:引吭_2)hang1:不吭聲
吮	吮 廣州話：syun5
吱	吱 廣州話：zi1
吳	吳 廣州話：ng4
吵	吵 廣州話：caau2
吶	吶 廣州話：naap6_(又)nat6,neot6
吸	吸 廣州話：kap1
吹	吹 廣州話：ceoi1
吻	吻 廣州話：man5
吼	吼 廣州話：haau1_(又)hau3
吾	吾 廣州話：ng4
呀	呀 廣州話：1)aa1:嘆詞_2)aa3:助詞
呂	呂 廣州話：leoi5
呃	呃 廣州話：aak1
呆	呆 廣州話：1)ngoi4:呆板_2)daai1:通獃,書獃子
呈	呈 廣州話：cing4
告	告 廣州話：gou3_忠告又讀guk1
呎	呎 廣州話：cek3
呢	呢 廣州話：1)nei4:呢喃_2)ne1:助詞
周	周 廣州話：zau1
呱	呱 廣州話：gwaa1
味	味 廣州話：mei6
呵	呵 廣州話：ho1
呶	呶 廣州話：naau4
呷	呷 廣州話：haap3
呸	呸 廣州話：pei1
呻	呻 廣州話：san1
呼	呼 廣州話：fu1
命	命 廣州話：ming6
咀	咀 廣州話：zeoi2
咄	咄 廣州話：deot1_(又)*zyut3
咆	咆 廣州話：paau4
咋	咋 廣州話：zaa3
和	和 廣州話：1)wo4:和氣_2)wo6:和詩
咎	咎 廣州話：gau3
咐	咐 廣州話：fu3_本讀fu6
咒	咒 廣州話：zau3
咕	咕 廣州話：gu1
咖	咖 廣州話：gaa3
咚	咚 廣州話：dung1
咦	咦 廣州話：ji2_本讀ji4
咧	咧 廣州話：lit6
咨	咨 廣州話：zi1
咩	咩 廣州話：me1
咪	咪 廣州話：mei1_(又)mai1
咫	咫 廣州話：zi2
咬	咬 廣州話：ngaau5
咯	咯 廣州話：1)lok3:咯血_2)lo1:助詞
咱	咱 廣州話：zaa1
咳	咳 廣州話：1)kat1:咳嗽_2)haai4:嘆詞
咸	咸 廣州話：haam4
咻	咻 廣州話：jau1
咽	咽 廣州話：1)jin1:咽頭_2)jin3:虎咽_3)jit3:硬咽
哀	哀 廣州話：oi1
品	品 廣州話：ban2
哂	哂 廣州話：can2
哄	哄 廣州話：1)hung1:哄堂大笑_2)hung3:哄騙
哇	哇 廣州話：waa1
哈	哈 廣州話：haa1
哉	哉 廣州話：zoi1
哎	哎 廣州話：aai1
員	員 廣州話：jyun4_1)(古人名)wan4_2)wan6姓員
哥	哥 廣州話：go1
哦	哦 廣州話：1)ngo4:吟哦_2)o2:嘆詞_3)o6:嘆詞
哨	哨 廣州話：saau3
哩	哩 廣州話：1)lei5:英哩_2)le1:助詞_3)lei1:哩哩啦啦
哪	哪 廣州話：naa5_(古人名)naa4_哪吒
哭	哭 廣州話：huk1
哮	哮 廣州話：haau1
哲	哲 廣州話：zit3
哺	哺 廣州話：bou6
哼	哼 廣州話：1)hang1:哼歌_2)hng6:感嘆詞
唁	唁 廣州話：jin6
唆	唆 廣州話：so1
唉	唉 廣州話：aai1
唐	唐 廣州話：tong4
唔	唔 廣州話：ng4_(語)m4否定義
唧	唧 廣州話：zik1
唬	唬 廣州話：fu2_同嚇
售	售 廣州話：sau6
唯	唯 廣州話：1)wai4:同惟_2)wai2:唯唯諾諾
唱	唱 廣州話：coeng3
唳	唳 廣州話：leoi6
唷	唷 廣州話：jo1
唸	唸 廣州話：nim6
唾	唾 廣州話：to3_(又)toe3
啁	啁 廣州話：zau1
啃	啃 廣州話：hang2
啄	啄 廣州話：doek3
商	商 廣州話：soeng1
啊	啊 廣州話：1)aa1:歎詞，表示讚嘆驚異_2)aa2:歎詞，表示追問驚疑_3)aa3:歎詞，表示應諾驚歎
問	問 廣州話：man6
啕	啕 廣州話：tou4
啖	啖 廣州話：daam6
啜	啜 廣州話：zyut3
啞	啞 廣州話：1)aa2:聾啞_2)aa1:咿啞
啟	啟 廣州話：kai2
啡	啡 廣州話：fe1_(又)fei1
啣	啣 廣州話：haam4
啤	啤 廣州話：be1
啥	啥 廣州話：saa2
啦	啦 廣州話：laa1
啪	啪 廣州話：paak1
啻	啻 廣州話：ci3
啼	啼 廣州話：tai4
啾	啾 廣州話：zau1
喀	喀 廣州話：haak3
喂	喂 廣州話：wai3
喃	喃 廣州話：naam4
善	善 廣州話：sin6
喇	喇 廣州話：1)laa3:喇叭_2)laa1:喇嘛
喉	喉 廣州話：hau4
喊	喊 廣州話：haam3
喋	喋 廣州話：dip6
喔	喔 廣州話：1)ak1:喔喔叫_2)o1:歎詞
喘	喘 廣州話：cyun2
喚	喚 廣州話：wun6
喜	喜 廣州話：hei2
喝	喝 廣州話：hot3
喟	喟 廣州話：wai2
喧	喧 廣州話：hyun1
喪	喪 廣州話：1)song3:喪失_2)song1:喪事
喬	喬 廣州話：kiu4
單	單 廣州話：1)daan1:單純_2)sin6:姓單_(古人名)sim4單于
喱	喱 廣州話：lei1
喲	喲 廣州話：jo1
喳	喳 廣州話：1)zaa1:喳喳叫_2)caa1:打渣渣
喻	喻 廣州話：jyu6
嗅	嗅 廣州話：cau3
嗆	嗆 廣州話：1)coeng1:吃嗆_2)coeng3:煙嗆嗓子
嗇	嗇 廣州話：sik1
嗎	嗎 廣州話：maa1
嗑	嗑 廣州話：hap3
嗓	嗓 廣州話：song2
嗚	嗚 廣州話：wu1
嗜	嗜 廣州話：si3
嗟	嗟 廣州話：ze1
嗡	嗡 廣州話：jung1
嗣	嗣 廣州話：zi6
嗤	嗤 廣州話：ci1
嗥	嗥 廣州話：hou4
嗦	嗦 廣州話：so1
嗨	嗨 廣州話：hoi1
嗯	嗯 廣州話：ng2
嗷	嗷 廣州話：ngou4
嗽	嗽 廣州話：sau3
嗾	嗾 廣州話：sau2_(語)zuk6
嘀	嘀 廣州話：dik6_(又)dik1
嘆	嘆 廣州話：taan3
嘈	嘈 廣州話：cou4
嘉	嘉 廣州話：gaa1
嘍	嘍 廣州話：lau4
嘔	嘔 廣州話：au2
嘖	嘖 廣州話：zaak3_嘖有煩言又讀zik1
嘗	嘗 廣州話：soeng4
嘛	嘛 廣州話：1)maa4:喇嘛_2)maa3:助詞
嘟	嘟 廣州話：dou1
嘩	嘩 廣州話：1)waa1:同譁_2)waa4:象聲詞
嘮	嘮 廣州話：lou4
嘯	嘯 廣州話：siu3
嘰	嘰 廣州話：gei1
嘲	嘲 廣州話：zaau1
嘴	嘴 廣州話：zeoi2
嘶	嘶 廣州話：si1
嘹	嘹 廣州話：liu4
嘻	嘻 廣州話：hei1
嘿	嘿 廣州話：hei1_默的本字
噎	噎 廣州話：jit3
噓	噓 廣州話：1)heoi1:噓寒問暖_2)syu4:嘆詞
噗	噗 廣州話：pok3
噙	噙 廣州話：kam4
噢	噢 廣州話：*ou3_或o1
噤	噤 廣州話：gam3
噥	噥 廣州話：nung4
器	器 廣州話：hei3
噩	噩 廣州話：ngok6
噪	噪 廣州話：cou3
噫	噫 廣州話：ji1
噬	噬 廣州話：sai6
噯	噯 廣州話：oi2
噱	噱 廣州話：koek3
噴	噴 廣州話：pan3
噸	噸 廣州話：deon1
噹	噹 廣州話：dong1
嚀	嚀 廣州話：ning4
嚅	嚅 廣州話：jyu4
嚇	嚇 廣州話：haak3
嚎	嚎 廣州話：hou4
嚏	嚏 廣州話：tai3
嚕	嚕 廣州話：lou1
嚥	嚥 廣州話：jin3
嚨	嚨 廣州話：lung4
嚮	嚮 廣州話：hoeng3
嚴	嚴 廣州話：jim4
嚶	嚶 廣州話：jing1
嚷	嚷 廣州話：joeng6_(又)joeng5
嚼	嚼 廣州話：zoek3
囀	囀 廣州話：zyun2
囁	囁 廣州話：zip3
囂	囂 廣州話：hiu1
囈	囈 廣州話：ngai6
囉	囉 廣州話：1)lo1:囉唆_2)lo4:嘍囉_3)lo3:助詞
囊	囊 廣州話：nong4
囌	囌 廣州話：sou1
囑	囑 廣州話：zuk1
囚	囚 廣州話：cau4
四	四 廣州話：sei3
回	回 廣州話：wui4
因	因 廣州話：jan1
囤	囤 廣州話：tyun4
囪	囪 廣州話：cung1_(語)tung1:同窗
困	困 廣州話：kwan3
固	固 廣州話：gu3
圃	圃 廣州話：pou2
圈	圈 廣州話：1)hyun1:圈子_2)gyun6:羊圈
國	國 廣州話：gwok3
圍	圍 廣州話：wai4
園	園 廣州話：jyun4
圓	圓 廣州話：jyun4
圖	圖 廣州話：tou4
團	團 廣州話：tyun4
土	土 廣州話：tou2
在	在 廣州話：zoi6
圬	圬 廣州話：wu1
圭	圭 廣州話：gwai1
圯	圯 廣州話：ji4
地	地 廣州話：dei6
圳	圳 廣州話：zan3
圾	圾 廣州話：saap3
址	址 廣州話：zi2
均	均 廣州話：gwan1_通韻
坊	坊 廣州話：fong1
坍	坍 廣州話：taan1
坎	坎 廣州話：ham2
坏	坏 廣州話：pui1
坐	坐 廣州話：zo6_(又)co5
坑	坑 廣州話：haang1
坡	坡 廣州話：bo1_(又)po1
坤	坤 廣州話：kwan1
坦	坦 廣州話：taan2
坩	坩 廣州話：ham1
坪	坪 廣州話：ping4
坷	坷 廣州話：ho2
坼	坼 廣州話：caak3
垂	垂 廣州話：seoi4
垃	垃 廣州話：laap6
型	型 廣州話：jing4
垠	垠 廣州話：ngan4
